baraj_adi,yil_2010,yil_2011,yil_2012,yil_2013,yil_2014,yil_2015,yil_2016,yil_2017,yil_2018,yil_2019,yil_2020,yil_2021
ASLANTAS,17.8,47.1,24.0,22.4,3.6,56.7,10.2,32.0,15.0,57.0,52.3,20.0
KOZAN,57.2,57.0,45.9,39.6,21.1,46.1,26.9,21.2,21.5,63.1,53.6,26.6
CATALAN,2.4,19.9,5.0,15.5,10.7,24.3,9.6,8.8,9.9,12.9,10.7,7.3
SEYHAN-I,39.4,42.5,54.7,41.3,33.7,66.6,30.5,31.1,46.6,44.7,59.1,29.5
YEDIGOZE,39.4,84.6,77.0,80.4,85.0,95.9,97.0,97.1,96.0,91.7,88.3,49.9
GOKTAS-1,39.4,42.5,40.2,39.9,29.1,47.5,37.4,67.0,88.7,93.9,75.8,25.9
KOPRU,39.4,42.5,40.2,20.6,2.2,3.0,15.1,87.3,53.9,96.8,64.6,37.6
FEKE-2,39.4,42.5,31.2,87.0,53.9,71.5,47.5,37.8,18.7,42.9,46.9,48.4
MENGE,39.4,42.5,33.9,76.5,40.5,20.8,76.6,37.7,74.6,68.0,62.6,24.6
KAVSAKBENDI,39.4,42.5,40.2,39.9,68.7,90.3,15.3,65.3,75.7,68.9,77.9,68.8
NERGIZLIK,48.7,47.0,45.7,46.4,24.1,44.0,6.4,25.0,34.3,41.0,18.8,3.3
CAMGAZI,13.8,7.3,7.5,7.3,5.1,23.9,0.0,4.2,0.0,53.7,45.9,8.1
SELEVIR,47.9,60.1,52.7,24.5,0.0,70.2,42.5,18.1,0.0,0.3,0.0,0.0
AKDEGIRMEN,49.2,72.5,84.7,73.9,38.8,59.2,38.3,18.2,12.1,30.9,15.3,8.6
SEYITLER,3.7,26.8,40.4,33.2,6.2,76.6,57.2,39.9,9.9,31.1,32.1,21.7
ORENLER,26.4,42.2,26.5,25.5,5.9,54.9,64.3,16.5,27.5,49.5,27.1,13.6
SERBAN,54.9,55.9,41.3,56.8,26.8,77.3,49.2,27.8,24.3,47.9,39.9,31.0
YAZICI,39.4,42.5,86.6,90.0,91.2,90.1,79.5,94.9,94.2,72.0,80.8,71.4
PATNOS,63.4,71.2,56.6,65.9,42.7,58.6,78.0,67.4,46.4,68.3,52.0,47.5
KULTEPE,29.1,86.6,61.3,26.0,20.3,37.4,3.5,6.1,6.2,6.1,5.4,2.3
BOZKIR,57.8,67.6,59.4,37.8,19.9,22.7,12.1,7.8,16.9,36.6,36.6,36.6
MAMASIN,4.0,4.8,5.0,5.8,6.1,14.2,13.2,12.0,14.5,16.9,13.0,11.7
SARAYOZU,39.4,42.5,42.8,45.6,0.6,52.5,34.0,36.9,5.1,26.6,0.0,7.7
YEDIKIR,38.8,41.5,38.1,35.7,11.0,22.2,22.2,26.5,7.7,30.1,0.0,1.2
DERINOZ,39.4,42.5,93.7,84.5,43.9,84.0,61.1,68.4,54.4,30.4,2.0,7.6
GEDIKSARAY,18.7,67.8,56.1,51.8,2.8,6.5,7.6,6.2,0.0,0.0,0.0,0.0
YAPRAK I BARAJI,39.4,42.5,40.2,39.9,29.1,47.5,0.1,13.2,7.4,0.0,2.8,4.8
ULUKOY,10.2,29.4,17.9,23.8,1.1,48.7,19.2,29.3,12.5,23.1,7.5,8.8
HIRFANLI,82.1,78.5,64.2,75.9,68.5,67.9,61.6,55.0,39.5,29.9,30.1,19.0
KESIKKOPRU,90.3,98.6,98.7,95.4,93.3,93.5,90.9,89.5,89.6,92.6,96.4,94.2
PECENEK,39.4,42.5,40.2,39.9,0.0,94.8,72.2,61.4,49.7,45.2,31.5,26.2
CAMLIDERE,15.6,18.8,27.4,27.5,19.4,21.1,15.2,10.2,8.9,9.7,15.9,12.6
EGREKKAYA,75.9,71.6,68.4,39.4,7.4,88.1,70.2,11.4,4.3,53.4,29.0,16.7
KURTBOGAZI,72.3,61.2,57.1,58.1,45.0,53.5,72.3,42.5,48.5,48.2,24.5,38.1
KAVSAKKAYA,57.6,41.3,36.1,32.0,38.3,59.9,6.3,16.7,30.4,12.4,6.2,24.3
AKYAR,56.0,56.4,34.9,0.0,7.4,61.9,44.5,6.3,12.6,51.7,28.6,6.7
DOGANOZU,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,65.5,46.2,34.7
CUBUK II,55.9,59.3,52.9,42.7,6.2,75.1,54.5,27.3,26.3,63.2,33.1,21.3
ASARTEPE,45.2,52.8,46.9,40.6,32.2,58.9,41.8,13.9,1.3,29.5,37.3,12.8
CUBUK 1,39.4,42.5,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAYAS BAYINDIR,39.4,42.5,68.7,81.4,82.7,84.6,84.6,84.6,100.0,100.0,100.0,100.0
OYMAPINAR,18.2,33.2,33.6,0.0,17.3,18.2,12.5,29.4,28.9,14.2,77.3,16.9
DIM,26.5,19.6,21.4,22.4,19.0,15.8,10.2,24.2,11.4,33.3,32.0,45.1
NARAS,39.4,42.5,40.2,39.9,0.0,80.3,89.0,57.5,56.0,50.8,40.7,26.7
MANAVGAT,49.3,96.5,74.3,70.4,63.2,47.9,42.8,66.1,68.6,67.6,81.3,88.2
KARACAOREN II,55.1,55.1,44.1,68.6,56.7,72.4,91.9,32.8,36.5,75.1,90.3,63.2
KORKUTELI,34.8,42.6,30.5,12.8,0.0,28.6,8.6,3.5,4.0,6.9,3.8,3.0
ALAKIR,19.6,15.3,38.7,43.9,22.4,45.0,10.2,8.6,0.7,36.8,19.9,30.6
CAYBOGAZI,4.8,7.4,4.8,2.4,0.9,18.6,0.7,0.3,6.8,18.0,0.0,6.8
YALNIZARDIC,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,9.4,12.6,5.1
KAYABEYI,39.4,42.5,40.2,39.9,0.0,20.9,9.5,32.9,25.9,34.7,19.7,51.8
KOTANLI,39.4,42.5,40.2,39.9,29.1,47.5,100.0,41.8,30.7,30.7,30.7,41.3
KOROGLU,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,55.3,17.8,23.5,38.9
DERINER,39.4,42.5,0.0,57.5,46.1,49.9,35.5,36.9,26.7,23.2,0.3,1.0
BORCKA,21.6,46.1,7.1,22.4,56.5,30.7,53.2,39.1,17.5,85.9,31.9,40.4
ARTVIN BARAJI,39.4,42.5,40.2,39.9,29.1,47.5,100.0,100.0,0.0,43.1,88.9,100.0
TBMM 85.YIL MILLI EGEMENLIK,39.4,42.5,46.4,87.9,43.8,77.4,20.6,68.8,16.0,46.8,61.5,58.8
KEMER,17.1,3.8,23.7,17.9,15.7,34.8,6.9,0.0,4.3,19.8,0.2,0.0
CINE ADNAN MENDERES,39.4,42.5,48.4,47.2,12.6,55.6,56.2,22.0,7.0,40.7,0.7,0.0
IKIZDERE,39.4,42.5,37.7,53.3,49.2,60.2,34.9,27.3,24.3,33.8,14.9,11.9
TOPCAM,41.6,31.3,54.0,31.8,13.3,52.5,24.1,16.1,25.5,60.8,16.1,6.6
YAYLAKAVAK,39.4,42.5,17.2,31.8,15.3,36.2,11.2,19.1,29.5,18.5,7.1,6.6
KARACASU,39.4,42.5,0.0,32.8,34.2,50.7,35.5,39.4,57.2,22.0,19.7,16.1
MADRA,53.3,48.7,44.3,36.5,1.9,14.7,0.0,32.1,14.3,33.9,0.0,12.8
HAVRAN,0.0,45.1,0.0,32.1,34.2,61.2,63.8,56.8,49.9,61.0,41.4,61.0
SARIBEYLER,48.4,2.2,43.8,47.1,41.5,42.3,47.3,30.4,20.1,28.9,7.0,36.5
YENICE-GONEN,39.4,42.5,17.4,13.6,9.3,7.2,7.1,0.8,7.2,3.2,4.1,18.9
MANYAS,39.4,42.5,1.4,28.1,6.3,16.7,31.3,37.3,28.3,34.3,37.7,48.5
IKIZCETEPELER,68.3,56.6,64.8,61.5,44.7,63.2,53.6,47.9,24.0,50.8,27.9,32.5
CAYGOREN,30.5,22.6,15.3,17.9,6.5,27.8,16.1,22.5,19.7,15.2,0.1,23.8
ARDICTEPE,39.4,42.5,40.2,39.9,29.1,47.5,0.0,44.3,38.5,38.6,32.1,42.5
BATMAN,21.3,15.3,11.9,12.9,34.4,26.1,25.2,23.9,29.3,23.3,20.6,16.2
GARZAN,39.4,42.5,40.2,39.9,3.4,14.0,39.2,59.9,30.5,21.8,0.0,10.9
DEMIROZU,39.4,42.5,40.2,39.9,0.0,41.8,98.7,98.7,98.6,98.7,100.0,91.9
DARIDERE,39.4,42.5,43.5,25.6,3.6,51.6,45.5,22.0,13.8,7.3,3.2,9.4
KIZILDAMLAR,39.4,42.5,59.5,44.2,33.6,72.1,57.1,61.0,46.2,49.5,55.7,52.9
GUNYURDU MUSTAFA ELDEMIR,39.4,42.5,49.3,43.3,35.3,76.4,66.5,63.9,72.7,68.8,57.8,54.1
OZLUCE,43.6,64.6,32.1,45.2,41.8,31.4,25.9,37.0,7.5,42.8,22.4,11.4
KIGI,39.4,42.5,40.2,39.9,29.1,47.5,0.0,75.1,55.7,48.4,75.2,31.3
GAYT,17.5,17.6,0.0,18.0,8.6,4.2,22.8,0.0,10.4,7.9,0.0,3.2
YUKARI KALEKOY,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,72.8,88.8,68.8,38.0
KOPRUBASI,39.4,42.5,34.0,8.3,13.2,6.3,14.7,3.3,47.1,13.3,3.7,18.0
GOLKOY,30.0,25.4,24.3,18.3,51.7,97.0,23.1,19.6,61.7,93.7,31.6,99.6
KARACAOREN I,43.5,14.1,42.3,36.7,26.6,51.6,29.5,4.0,3.9,17.3,12.8,8.3
ONAC II,39.4,42.5,29.5,7.7,8.6,40.3,19.9,4.4,0.0,25.1,11.2,0.0
YAPRAKLI,50.8,54.3,34.1,21.6,17.9,51.9,22.3,2.2,1.3,1.3,1.4,4.0
